control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-CCR-P9-I9,MUST,General,,An Entity must define how they apply their Cloud Computing policy to each Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I11,MUST,General,,An Entity must consider its data classification framework and the sensitivity of data within its cloud computing policy.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I13,MUST,General,,An Entity must develop a policy on the applicable global standards and the compliance to those standards for Cloud Computing Arrangements.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I16,MUST,Register & Reporting,,An Entity must develop a Register with a complete inventory of Cloud Computing Arrangements.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I18,MUST,Regulatory Approval,,An Entity must disclose to QCB the criteria it is using to determine if a contract is material or not.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I22,MUST,Regulatory Approval,,An Entity must disclose the full Register to QCB on an annual basis and upon request by QCB.,Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P9-I24,MUST,Register & Reporting,,"An Entity must maintain an updated Register of information on all its Cloud Computing Arrangements, distinguishing between Material Arrangements and other arrangements.",Cloud Computing Regulation.pdf,9,cloud_computing_regulation
QCB-CCR-P10-I7,MUST,Outsourcing & Vendor Risk,,"A category assigned by an Entity that reflects the nature of the outsourced function (for example information technology function, control function), which must facilitate the identification of the different types of cloud outsourcing arrangements.",Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I12,MUST,Register & Reporting,,Where an Entity uses a service provider as an intermediary to access a CSP this must be recorded in the Register.,Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I22,MUST,Register & Reporting,,"An Entity must include within the Register s, when data is processed by the vendor s CSP, and all the items mentioned in clause (9.6) must be included.",Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I24,MUST,Outsourcing & Vendor Risk,,"For any Primary Sub-Contractor of the CSP, the Entity must ensure all the items mentioned in clause (9.6) are included.",Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I27,MUST,Outsourcing & Vendor Risk,,An Entity must plan and manage its transition to a Cloud Service Provider (CSP).,Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I28,SHOULD,Outsourcing & Vendor Risk,,This should include an evaluation of the CSP's technical support capabilities and any guidance or tools they can provide to facilitate a smooth transition of functions.,Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P10-I30,MUST,Governance,,"An Entity must review its governance and data requirements, and c heck for any constraints before planning a transition to the cloud, this includes but is not limited to:",Cloud Computing Regulation.pdf,10,cloud_computing_regulation
QCB-CCR-P11-I1,MUST,Regulatory Approval,,"An Entity must conduct a legal due diligence to ensure that it is not restricted by legal obligations, QCB issued regulations, or agreements, or data use agreements that might restrict the transfer of data to third parties, even if these third parties are service providers.",Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I3,MUST,General,,An Entity must check that the required consent has been received as per the Law No.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I6,MUST,General,,"An Entity must review the legal and regulatory requirements, contractual obligations and other corporate policies.",Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I7,MUST,General,,Corporate policies and standards must be reviewed to see if they need to be updated to allow a third party to handle data.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I9,MUST,Governance,,An Entity must ensure data governance policies and practices extend to data processed on the cloud.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I11,MUST,General,,An Entity must review whether the existing data or technical architectures are optimal for a cloud environment prior to migrating to the cloud.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I14,MUST,Outsourcing & Vendor Risk,,An Entity must undertake due diligence o n the CSP whether it is directly contracted with the CSP or has contracted with a CSP via a broker or other intermediary.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I16,MUST,Outsourcing & Vendor Risk,,"An En tity must undertake due diligence on prospective CSP and appropriateness of the prospective CSP and services selected, considering the intended usage of the Cloud Computing service.",Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I18,MUST,General,,An Entity must have a clear and documented business case or rationale in support of the decision to utilize the cloud.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I20,MUST,Data Protection,,"An Entity must consider data confidentiality, security maturity, financial, operational, and reputational , in its due diligence of a service provider.",Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I22,MUST,General,,An Entity must consider its data classification framework and the sensitiv ity of data in scope prior to any Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P11-I24,MUST,General,,An Entity must ensure that the depth of the due diligence must commensurate with the criticality and Materiality of the Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,11,cloud_computing_regulation
QCB-CCR-P12-I1,MUST,Risk Management,,"An Entity must establish risk mitigating controls that align with the criticality and Materiality of the Cloud Computing Arrangement and deploy cloud model-specific (SaaS, PaaS, IaaS) controls.",Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I3,MUST,Security Testing,,"An Entity must consider the track record of the CSP in achieving acceptable outcomes in areas such as information security policies and awareness, due diligence and risk assessment of practices related to sub-contracting, system vulnerability assessments, penetration testing and technology refresh management.",Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I7,MUST,Outsourcing & Vendor Risk,,An Entity must cover all zones in its due diligence of a CSP.,Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I8,MUST,General,,It must not be assumed that controls are consistent across all locations.,Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I9,MUST,General,,An Entity must set the scope of the due diligence assessment appropriately to cover an adequate set of controls and individual assessments of all locations expected to be relevant in the arrangement.,Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I11,MUST,Security Controls,,"An Entity must ensure that C SP implement strong authentication, access controls, data encryption and other 11.12.",Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I12,MUST,Regulatory Approval,,An Entity must verify that the CSP s controls adhere to the QCB Sector-Specific Security Regulation.,Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I14,MUST,Outsourcing & Vendor Risk,,"Prior to implementing Cloud Computing services and undertaking an outsourcing arrangement, an Entity must conduct an initial security and risk assessment of the se rvice to identify any information security, cybersecurity other IT control weaknesses -Specific Security Regulation.",Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I16,MUST,Risk Management,,An Entity must ensure that t he security and risk assessment identifies security threats including information security threats and operational weaknesses and develop safeguards to mitigate those threats and weaknesses.,Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P12-I17,MUST,Risk Management,,"The factors considered during the risk assessment must include, but are not limited to the following: 11.14.1.",Cloud Computing Regulation.pdf,12,cloud_computing_regulation
QCB-CCR-P13-I1,MAY,Assurance & Audit,,An Entity may also take any external assurance that has already been provided by independent auditors when conducting their own due diligence.,Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I3,MUST,Security Testing,,An Entity must conduct a Threat & Vulnerability Risk Assessment (TVRA) or an equivalent independent assessment on the CSP 11.16.,Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I4,MUST,Outsourcing & Vendor Risk,,An Entity must ensure the CSP has a disaster recovery and business continuity plan.,Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I6,MUST,Outsourcing & Vendor Risk,,"An Entity must conduct a detailed review of any financial information publicly available, provided by the CSP or other sources, in its due diligence.",Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I8,MUST,General,,An Entity must assess its Cloud Computing Arrangements compliance to the global standards as per the clause (8.4) and this regulation.,Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I9,MAY,General,,"For such purposes, an Entity may rely on a n independent reputable aud assurance demonstrating the compliance.",Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P13-I20,MUST,Risk Management,,The notification period set in the written agreement must allow an Entity sufficient time at least to carry out a risk assessment of the proposed sub-contracting or material changes thereof and to object to or explicitly approve them.,Cloud Computing Regulation.pdf,13,cloud_computing_regulation
QCB-CCR-P14-I1,MUST,General,,"Where an Entity does not have the contractual right to reject any proposed subcontractor, it is recommended that an Entity must retain a right to terminate the agreement.",Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I3,MUST,General,,An Entity must review the sub-contracting arrangements relevant to the provision of a regulated activity to determine if these sub-contacting arrangements ensure its compliance with regulatory requirements.,Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I5,MUST,Outsourcing & Vendor Risk,,The Entity must ensure that a ny subcontractor processing an E requirements adhered to by the CSP.,Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I8,MUST,Outsourcing & Vendor Risk,,"An Entity must ensure that the respective rights and obligations of an Entity and its CSP are clearly set out in a written agreement, either directly or through an intermediary (who may also be providing elements of the Cloud Computing).",Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I10,MUST,General,,"An Entity must ensure that written agreement expressly allows the possibility for an Entity to terminate it, where necessary.",Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I12,MUST,General,,"An Enti ty must ensure that its written agreement for a Material Arrangement addresses the following issues including, but not limited to: 13.3.1.",Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I15,MUST,Governance,,SLAs: Enforceable and measurable SLAs must include a definition of the governance to be put in place to manage the contract on an ongoing basis.,Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I16,MUST,Governance,,This must define any management information and other deliverables that will form the basis for that governance.,Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P14-I22,MUST,Outsourcing & Vendor Risk,,"Ownership and control over IT Assets, if the CSP is expected to be given some level of control over IT Assets, this level of control must be defined in the relevant outsourcing agreement.",Cloud Computing Regulation.pdf,14,cloud_computing_regulation
QCB-CCR-P15-I3,MUST,Assurance & Audit,,"An Entity must have the right to monitor, review and audit Cloud Computing Arrangements.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I6,MUST,Assurance & Audit,,"An Entity must ensure that it receives reports relevant to its security function and key functions from the CSP, such as reports prepared by the internal audit function of the CSP.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I8,MUST,Security Testing,,"An Entity must receive detailed data on cyber security arrangements from the CSP such as but not limited to: Malware protection, cryptographic controls, security testing, technical compliance, KPI (Key Performance Indicators) & KRI (Key Risk Indicators).",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I10,MUST,Outsourcing & Vendor Risk,,"The agreement must specify whether sub -contracting is permitted by the CSP directly or via other parties, and if so, what types of sub-contracting under which conditions.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I12,MUST,Outsourcing & Vendor Risk,,"The agreement must contain provisions regarding the management of incidents by the CSP, including the obligation for the CSP to report to the Entity without undue delay incidents that have affected the operation of the Entity vice.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I14,MUST,General,,"The agreement must contain provisions regarding digital forensic evidence generation , including whether the original copies of forensic evidence will be utilized or a copy with a chain of custody.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I15,SHOULD,General,,The chain of custody pre-requisites should be communicated and stated in the contract.,Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I17,MUST,General,,The agreement must address e-discovery costs and forensics requirements including cost and response times.,Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I19,MUST,Regulatory Approval,,"An Entity must receive official QCB approval prior to signing any Material Arrangement(s), or to any materia l modification of an existing one.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P15-I21,MUST,Data Protection,,"An Entity's contract with the CSP must include clauses that ensures data confidentiality, availability and integrity at all times, depending on the nature of service being provided by the CSP.",Cloud Computing Regulation.pdf,15,cloud_computing_regulation
QCB-CCR-P16-I2,MUST,Outsourcing & Vendor Risk,,"Prior to signing the contract, an Entity must plan and schedule an initial post outsourcing implementation review, set at a time after the implementation of the Material Arrangement.",Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I4,MUST,Outsourcing & Vendor Risk,,The post outsourcing implementation review must address the following: 14.2.1.,Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I5,MUST,Assurance & Audit,,An Entity must performance of the service provider and checks to ensure that the risks associated with the outsourcing activity are managed appropriately as planned.,Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I7,MUST,Outsourcing & Vendor Risk,,"An Entity must develop a process for CSP assessments , in collaboration with the CSP .",Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I8,MUST,General,,For the initial review this must at a minimum include: 14.2.2.1.,Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I29,MUST,Register & Reporting,,"The annual assessment must include an update and review of all the contracts in the Register, material or otherwise.",Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I31,MUST,General,,The annual assessment must report on all contracts where there has been a failure to meet contractual requirements.,Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P16-I33,MUST,Data Protection,,"The annual assessment must include information from the CSP about breaches of data, security or confidentiality in relation to the contract.",Cloud Computing Regulation.pdf,16,cloud_computing_regulation
QCB-CCR-P17-I1,MUST,Outsourcing & Vendor Risk,,The annual assessment must report any changes of location by the CSP and any (approved) changes of location for the contract itself.,Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P17-I4,MUST,General,,For Material Arrangements the assessment must cover: 15.1.6.1.,Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P17-I18,MUST,General,,An Entity must use the compliance to the policy as per clause (8.4) and requirements in this regulation as a criterion to renew a Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P17-I21,MUST,Security Controls,,An Entity must aim to have enforceable contractual rights that allow an Entity to have the same access rights as if it was directly managing its Cloud Computing environment.,Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P17-I23,MUST,Regulatory Approval,,An Entity must ensure that QCB has the same rights to audit as if the function were not outsourced in its Cloud Computing Arrangement contracts as per clause (13.3.8).,Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P17-I25,MUST,Assurance & Audit,,"An Entity must contractually have reasonable access to necessary information to assist in any investigation arising due to an incident in the cloud or audit inspection, to the extent that it is does not contravene any other legal obligations.",Cloud Computing Regulation.pdf,17,cloud_computing_regulation
QCB-CCR-P18-I1,MUST,Assurance & Audit,,An Entity must ensure that there are no restrictions on the number of requests the Entity or its auditor can make to access or receive data.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I3,MUST,Security Controls,,An Entity must have access to information on controls applied on the business premises in scope of the Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I5,MUST,Outsourcing & Vendor Risk,,"An Entity must be able to conduct an onsite visit to the relevant premises, as permitted by the CSP.",Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I7,MUST,Regulatory Approval,,"An Entity must ensure that QCB has the right to a business premises and to communicate with , as permitted by the CSP.",Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I10,MUST,Resilience & BCP,,An Entity must integrate its Cloud Computing Arrangements within its Business Continuity Plans (BCP).,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I12,MUST,General,,An Entity must detail how to switch over to the Cloud Computing disaster recovery environment and then switch back to normal cloud production within its IT disaster recovery plan.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I14,MUST,General,,An Entity must assess its ability to find alternate vendors.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I20,MUST,Outsourcing & Vendor Risk,,An Entity must evaluate if the CSP s BCP against required standards to determine that the CSP has satisfactory BCP in place.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I22,MUST,Outsourcing & Vendor Risk,,An Entity must evaluate and satisfy itself that the interdependency risk arising from Cloud Computing Outsourcing can be adequately mitigated.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I24,MUST,General,,An Entity must evaluate the likelihood and impact of an unexpected disruption to the continuity of its operations.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I26,MUST,General,,An Entity must proactively seek assurance on the state of BCP preparedness.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I30,MUST,Security Testing,,An Entity must regularly update its BCP and test arrangement with the CSP to ensure their effectiveness.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P18-I32,MUST,Outsourcing & Vendor Risk,,An Entity must have a defined incident response plan and develop effective crisis communication measures integrated with the CSP.,Cloud Computing Regulation.pdf,18,cloud_computing_regulation
QCB-CCR-P19-I2,MUST,Outsourcing & Vendor Risk,,"In the event of contract termination with the CSP, either on expiry or prematurely, an Entity must have the , including backups.",Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I4,MUST,Outsourcing & Vendor Risk,,"Upon terminatio n, the CSP must transfer all data from its environment to the Entity and remove it from its environment.",Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I6,MUST,Outsourcing & Vendor Risk,,"An Entity must ensure that the contract clearly stipulates the situations in which the Entity must have the right to terminate the outsourcing agreement in the event of default, or under circumstances, including but not limited to: 18.3.1.",Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I19,MUST,General,,An Entity must specify a minimum period to execute a termination provision in its agreement.,Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I21,MUST,Outsourcing & Vendor Risk,,An Entity must have a legal agreement that commits the CSP to assist in the exit process so as not to unreasonably impede the exit.,Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I22,MUST,Security Controls,,"These must include the format and manner in which data is to be returned to the Entity, as well as support from the CSP to ensure the accessibility of the data to ensure there is a smooth transition.",Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I26,MUST,Outsourcing & Vendor Risk,,An Entity and the CSP must agree on the data to be returned upon termination of the Cloud Computing Arrangement and review whenever there are material changes to the arrangement.,Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I29,MUST,Outsourcing & Vendor Risk,,"An Entity must develop and maintain a documented exit plan, Materiality, which must cover and differentiate between situations where an Entity exits an outsourcing agreement.",Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P19-I31,MUST,General,,An Entity must ensure that its exit plan covers both stressed exit and managed exit.,Cloud Computing Regulation.pdf,19,cloud_computing_regulation
QCB-CCR-P20-I1,MUST,Resilience & BCP,,An Entity must have plans how it would transition to an alternative service provider (or back to the Entity) and maintain business continuity.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I3,MAY,General,,An Entity may consider the available tools that could facilitate a stressed exit from a Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I6,MUST,Outsourcing & Vendor Risk,,"An Entity must remain accountable for the key management and ensure that the CSP is executing the applicable Sector-Specific Security Regulations and requirements, regardless of if the keys are hosted within the CSP data center or in the Entity's premise s as long as the key cryptography controls are meeting the applicable standards.",Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I8,MUST,Outsourcing & Vendor Risk,,"An Entity must ensure that the CSP retains a record, documents and regularly monitors the implementation of the required and applicable security controls including any changes to such controls.",Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I10,MUST,Security Controls,,An Entity must ensure that a procedure for key management access is documented and implemented.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I12,MUST,Security Controls,,"CSPs must limit KMS access to specific individuals for a limited time to conduct a task , based on the agreed procedure with the Entity.",Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I14,MUST,Security Controls,,An Entity must ensure that the principle of least privilege is adopted when granting access to the CSP.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I16,MUST,Security Controls,,An Entity must retain the right to access all the logs generated by the procured services.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I20,MUST,Security Controls,,An Entity must only grant service providers access to their information on a need-to-know and need-to-have basis for the purposes of the Cloud Computing Arrangement.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I22,MUST,General,,An Entity must ensure its data and information is segregated where the Cloud Computing Arrangement is using a multi-tenancy environment.,Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P20-I24,MUST,Data Protection,,"An Entity must implement technical and process-based controls to protect the integrity, confidentially of the data while the data is at rest or in motion or resident in the memory , as defined in the Sector -Specific Security",Cloud Computing Regulation.pdf,20,cloud_computing_regulation
QCB-CCR-P21-I2,MUST,Data Residency,,An Entity must ensure that PII and financial information is processed within Qatar only.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I4,MUST,Regulatory Approval,,An Entity must receive approval from QCB prior to entering into a Cloud Arrangement.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I6,MUST,Data Protection,,"When using cloud services for processing personal data, an Entity must ensure compliance with all applicable laws or regulations relating to the protection and processing of personal data and must require CSPs to comply with all requirements relating to the protection and processing of personal data, as applicable to such Entities.",Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I9,MAY,Security Testing,,An Entity may hire a reputable third party to assess and conduct the tests mentioned in clause (22.3) and in accordance with the Sector-Specific Security Regulation.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I11,MUST,Outsourcing & Vendor Risk,,"When an Entity is not permitted to conduct a certain security assessment on the cloud environment, the CSP must provide the Entity with an assessment report conducted by a reputable third party.",Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I15,MUST,Regulatory Approval,,An Entity seeking an exemption from any requirement within this regulation must request it from QCB.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I18,MUST,General,,An Entity must link its exemption request to a specific requirement in this regulation from which it is seeking a waiver.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P21-I20,MUST,General,,An Entity must support its exemption request with a clear and documented business case or rationale.,Cloud Computing Regulation.pdf,21,cloud_computing_regulation
QCB-CCR-P22-I1,MUST,General,,An Entity must ensure that the appropriate individuals or levels of authority within the Entity consistently approve the exemption.,Cloud Computing Regulation.pdf,22,cloud_computing_regulation
QCB-CCR-P22-I3,MUST,Register & Reporting,,An Entity must duly r exemptions Register any approved exemptions and assign an expiration date the date by which the exemption will be mitigated or resolved by the Entity seeking the exemption.,Cloud Computing Regulation.pdf,22,cloud_computing_regulation
QCB-CCR-P22-I5,MUST,Risk Management,,An Entity must remain accountable for any risks stemming from approved exemptions.,Cloud Computing Regulation.pdf,22,cloud_computing_regulation
QCB-CCR-P22-I8,MUST,Regulatory Approval,,"Along with the QCB Law and this regulation, the Entity must also comply with the below mentioned secondary regulations, and their subsequent amendments, while operating in Qatar: 24.1.1.",Cloud Computing Regulation.pdf,22,cloud_computing_regulation
