control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-GAP-P5-I16,MUST,Data Protection,,4.5 A Financial Institution must ensure its DPO’s roles and responsibilities include: 4.5.1 Assessing the Financial Institution’s compliance to data privacy and protection requirements as per relevant laws and regulations.,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Compliance,Ensure the DPO's responsibilities include assessing compliance with data privacy and protection requirements.
QCB-GAP-P6-I2,MUST,Data Protection,,"4.6 A Financial Institution must ensure its DPO reports directly to the CEO or the most senior management position, who must ensure data privacy and protection risks are communicated to the board.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Board Oversight,Ensure DPO reports directly to the CEO or the most senior management position to ensure data privacy and protection risks are communicated to the board.
QCB-GAP-P6-I3,MUST,Data Protection,,"4.7 A Financial Institution must provide the required training and awareness to promote skill development for its employees and relevant stakeholders to ensure that they regularly update their knowledge of data privacy and management, data classification, data handling, data cataloguing, data stewardship, data backup up, disaster recovery, etc.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Data Management; Data Security,Ensure regular training and awareness sessions for employees and relevant stakeholders.
QCB-GAP-P6-I5,MUST,Security Controls,,"Framework, policies and procedures 5.1 A Financial Institution must establish an internal data governance policy that applies to all their business processes and operational procedures to ensure proper handling in the collection, class ification, security, integrity, storage, retention, access, use, transfer and destruction of data throughout its lifecycle.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance Policy,Develop and enforce a comprehensive data governance policy that includes all business processes and operational procedures.
QCB-GAP-P6-I6,MUST,Governance,,5.2 A Financial Institution must ensure that its data governance policy includes: 5.2.1 Identification of all relevant laws and regulations the Financial Institution must adhere to.,Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Regulatory Compliance,Ensure compliance by identifying and adhering to all relevant laws and regulations.
QCB-GAP-P6-I19,MUST,Governance,,"5.3 A Financial Institution must assess requirements of leading data governance standards, while ensuring they maintain compliance with the requirements of this regulation.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Compliance,Conduct regular assessments of leading data governance standards to ensure compliance with regulatory requirements.
QCB-GAP-P6-I20,MUST,Security Controls,,"5.4 A Financial Institution must publish its External Privacy Policy statement on externally hosted channels, to the extent necessary, informing customers of their rights and how their data will be collected, accessed, processed, shared and retained.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,ExternalPrivacyPolicy; CustomerRights; DataCollectionAccess,Ensure the External Privacy Policy is accessible on publicly visible channels.
QCB-GAP-P6-I21,MUST,Security Controls,,"5.5 A Financial Institution must publish its Internal Privacy Policy in an easily-accessible and context-specific manner, to the extent necessary for all staff involved.",Data Handling and Protection Regulation.pdf,6,data_handling_and_protection_regulation,Governance,Technical,Low,Privacy Policy; Staff Access,Ensure the privacy policy is easily accessible and context-specific to all staff.
QCB-GAP-P7-I0,MUST,General,,Data Handling and Protection Regulation 7 5.6 A Financial Institution must develop data mapping procedures to define data assets and their paths through the entities’ processes.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Data Mapping,Develop and document data mapping procedures to ensure clear identification and tracking of data assets throughout the organization's processes.
QCB-GAP-P7-I1,MUST,General,,5.7 A Financial Institution must establish consent procedures for customer data processing that aligns with processes and technologies utilized within the Financial Institution.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Customer Consent,Implement clear and transparent consent procedures for customer data processing.
QCB-GAP-P7-I2,MUST,General,,5.8 A Financial Institution must define specific destruction guidelines for data and hardware that has reached the end of its retention period.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Destruction; Retention Period,Develop and enforce clear guidelines for securely destroying data and hardware beyond their retention period.
QCB-GAP-P7-I3,MUST,Governance,,"5.9 A Financial Institution must align its business continuity plans, disaster recovery plans and backup strategy with the requirements of this regulation and their data governance frameworks, policies, and procedu res.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Medium,Data Governance; Regulatory Compliance,"Ensure alignment between business continuity, disaster recovery, and backup strategies with regulatory requirements and data governance policies."
QCB-GAP-P7-I4,MUST,Assurance & Audit,,5.10 A Financial Institution must ensure it identifies risks associated with data privacy and the mitigating controls.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Risk Management,Implement data privacy policies and conduct regular audits.
QCB-GAP-P7-I5,MUST,Register & Reporting,,"5.11 A Financial Institution must maintain a detailed inventory of all assets within its processing environment, including Third Party assets, mapped to its critical processes and services.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Operational,Technical,Low,Asset Inventory; Third Party Management,"Ensure all assets, including Third Party assets, are inventoried and mapped to critical processes and services."
QCB-GAP-P7-I7,MUST,General,,"Data Classification Framework 6.1 A Financial Institution must develop and maintain a data classification policy based on industry leading practices, which includes Financial Institution-wide responsibilities for classifying data.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Classification Policy; Data Protection,Develop and maintain a comprehensive data classification policy based on industry best practices.
QCB-GAP-P7-I8,MUST,General,,6.2 A Financial Institution must develop and maintain a data handling guideline that details how to handle data of different classifications.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Handling Guidelines; Data Classification,Develop and maintain a comprehensive data handling guideline that clearly outlines how to handle data of different classifications.
QCB-GAP-P7-I9,MAY,General,,A Financial Institution may utilize the National Cyber Security Agency’s National Data Classification Policy.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Classification Policy,Ensure compliance with the National Cyber Security Agency’s National Data Classification Policy by implementing appropriate data classification measures.
QCB-GAP-P7-I10,MUST,Security Controls,,"6.3 A Financial Institution must define the following for each classification level: classification definition, data examples, storage requirements, labelling requirements, cybersecurity controls, physical access controls, logical access controls, data masking requirements, transmission requirements and destruction mechanism.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Security Controls,Develop clear guidelines and implement robust security measures.
QCB-GAP-P7-I12,MUST,General,,"1 A Financial Institution must conduct annual reviews of their ROPA, or conduct reviews that are triggered by changes to the Financial Institution.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Financial Institution Compliance,Ensure annual reviews of ROPA or trigger reviews upon changes to the Financial Institution.
QCB-GAP-P7-I13,MAY,General,,"These changes may include but are not limited to: organizational restructure, new regulatory requirements, changes to the da ta processing environment, etc.",Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Operational,Low,Data Governance; Regulatory Compliance,Review and update policies to align with new regulatory requirements.
QCB-GAP-P7-I14,MAY,General,,2 A Financial Institution may implement tools that automate updates to their ROPA.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Technical,Governance,Low,FinancialInstitution; AutomatedUpdates; ROPA,Implement automated tools for updating ROPA to ensure compliance and efficiency.
QCB-GAP-P7-I15,MUST,Assurance & Audit,,3 A Financial Institution must document and justify any data excluded from the ROPA and detail the associated risks.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Exclusion Documentation; Risk Justification,"Ensure all data excluded from the ROPA is documented and justified, including associated risks."
QCB-GAP-P7-I16,MUST,General,,6.5 A Financial Institution must conduct Data Mapping to outline all data assets and their flow across organizational processes.,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation,Governance,Technical,Low,Data Management; Data Governance,Ensure all data assets are mapped and documented to maintain transparency and traceability.
QCB-GAP-P8-I0,MUST,General,,"Data Handling and Protection Regulation 8 6.5.1 A Financial Institution must review data maps annually, to ensure current and accurate representation of data flows, or conduct reviews that are triggered by c hanges to the Financial Institution.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Data Flow Management,Regularly review data maps to ensure accuracy and timely updates.
QCB-GAP-P8-I1,MAY,General,,"These changes may include but are not limited to: organizational restructure, new regulatory requirements, changes to the data processing environment, etc.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Regulatory Compliance,"Review and update organizational structure, data processing environment, and regulatory requirements."
QCB-GAP-P8-I2,MUST,General,,2 A Financial Institution must complete Data Mapping exercises for their environments.,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Data Mapping,Conduct thorough Data Mapping exercises to ensure accurate representation of data across environments.
QCB-GAP-P8-I3,MUST,Assurance & Audit,,3 A Financial Institution must document and justify any data or processes excluded from the data map and detail the associated risks.,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Exclusion Documentation; Risk Justification,"Ensure all data and processes are documented and justified, and risks are clearly explained."
QCB-GAP-P8-I5,MUST,Data Residency,,"Data Handling 7.1 A Financial Institution must identify data that is Personally Identifiable Information (PII), Sensitive Personal Information (SPI), Sensitive Financial Information (SFI) and Technical Information, as defined in this regulation.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Technical,Identification,Low,Data Protection; Privacy,Develop a comprehensive data classification policy and ensure all employees are trained on the classification process.
QCB-GAP-P8-I6,MUST,Data Residency,,"7.2 A Financial Institution must classify data that is PII and Technical Data, as per the Financial Institution’s data classification framework.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Classification; Data Protection,Ensure that all personal identifiable information (PII) and technical data are appropriately classified according to the institution's established framework.
QCB-GAP-P8-I7,MUST,General,,"7.3 A Financial Institution must classify and manage SPI and SFI as per the highest, most strict classification available.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,High,FinancialInstitution; Classification; SPIandSFI,Ensure SPI and SFI are classified and managed according to the highest and most stringent classification available.
QCB-GAP-P8-I8,MUST,Data Residency,,"7.4 A Financial Institution must process PII, SPI and SFI only when one of the following conditions (at least) is met: 7.4.1 The Financial Institution has received explicit consent from the Data Subject.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Consent Management,"Ensure that processing of PII, SPI, and SFI is only authorized when explicit consent has been obtained from the data subject."
QCB-GAP-P8-I11,MUST,Data Residency,,"7.5 A Financial Institution must put in place a process to remediate previously collected PII, SPI and SFI that does not adhere to requirement 7.4.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Technical,Governance,Medium,PII; SPI; SFI; Regulatory Compliance,Implement a process to ensure all collected personal information adheres to the specified requirements.
QCB-GAP-P8-I12,MUST,Data Residency,,"7.6 A Financial Institution must ensure its primary environment, the main data storage and processing environment, for PII, SPI and SFI resides within the State of Qatar.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Data Security; Data Storage,"Ensure the primary environment for PII, SPI, and SFI is located within the State of Qatar."
QCB-GAP-P8-I13,MAY,Regulatory Approval,,"7.7 A Financial Institution may utilize a primary storage and processing environment for PII, SPI and SFI outside the State of Qatar only after receiving explicit approval from QCB.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,PII; SPI; SFI; QCB Approval,"Ensure explicit approval from QCB is obtained before using the primary storage and processing environment for PII, SPI, and SFI outside the State of Qatar."
QCB-GAP-P8-I14,MUST,Regulatory Approval,,"7.8 A Financial Institution must adhere to Bank Secrecy requirements, especially when processing SFI as per QCB Law and any other relevant laws and regulations.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Governance,Technical,Low,Bank Secrecy Act; QCB Law,Ensure compliance with Bank Secrecy Act and QCB Law through regular audits and adherence to industry standards.
QCB-GAP-P8-I15,MUST,General,,"7.9 A Financial Institution must limit its data collection activities to data it requires to provide services to the customer, or to adhere to legal and regulatory requirements.",Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Operational,Technical,Low,Data Collection Limits; Compliance,Implement a clear data collection policy that specifies the minimum data required for service provision and adherence to legal and regulatory requirements.
QCB-GAP-P8-I17,MUST,General,,Data Security 8.1 A Financial Institution must develop robust data quality controls and validation processes to ensure the accuracy and reliability of processed data.,Data Handling and Protection Regulation.pdf,8,data_handling_and_protection_regulation,Technical,Governance,Medium,Data Quality; Validation Processes,Establish clear guidelines and procedures for data quality checks and validation.
QCB-GAP-P9-I0,MUST,Data Residency,,"Data Handling and Protection Regulation 9 8.2 A Financial Institution must develop dedicated security controls for all data that is classified as PII, SPI or SFI, while applying requirements as per the Sector-Specific Security Regulation to protect it based on criticality and assumed risks.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Technical,Technical,Low,Data Protection; Security Controls,"Implement specific security measures for PII, SPI, and SFI data."
QCB-GAP-P9-I1,MUST,Data Residency,,"8.3 A Financial Institution must update its security controls for all data tha t is classified as PII, SPI or SFI, while accounting for the changing threat landscape.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Technical,Implementation,Medium,Data Protection; Security Controls,"Regularly review and update security controls for PII, SPI, and SFI data to adapt to evolving threats."
QCB-GAP-P9-I2,MAY,Security Testing,,"8.4 A Financial Institution may utilize tools and technologies to operationalize its data classification and management requirements, while ensuring regular testing and pat ching of the systems and that they are kept up to date.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Operational,Technical,Low,Data Governance; Data Management,Implement regular audits and updates to ensure compliance with data classification and management requirements.
QCB-GAP-P9-I4,MUST,Risk Management,,8.5 A Financial Institution must review its data classification on regular basis t o mitigate risks of misclassification.,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Data Classification,Schedule regular reviews to ensure accurate data classification.
QCB-GAP-P9-I5,MUST,Security Controls,,"8.6 A Financial Institution must transfer its data through secure and encrypted mediums, as per leading industry standards and the Sector-Specific Security Regulation.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Technical,Implementation,Medium,Data Security; Compliance,Ensure all data transfers are conducted through secure and encrypted channels.
QCB-GAP-P9-I6,MUST,General,,"8.7 A Financial Institution must use specialized, reputable and secure physical transportation methods, when transporting data on a physical medium such a documents or storage tapes.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Transportation Controls,Implement secure physical transportation methods for data on physical media.
QCB-GAP-P9-I9,MUST,Assurance & Audit,,"9.2 A Financial Institution must assess its Third Party’s compliance to relevant data protection laws and regulations, as well as any certifications or audit reports.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Compliance,"Implement a comprehensive third-party assessment process to ensure compliance with relevant data protection laws and regulations, and verify certifications or audit reports."
QCB-GAP-P9-I10,MAY,Assurance & Audit,,"9.3 A Financial Institution may only share sensitive information with Third Parties they have non-disclosure and confidentiality requirements in place with, dependent on the associated risks.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Security; Third-Party Access,Implement strict non-disclosure and confidentiality agreements with third parties.
QCB-GAP-P9-I11,MUST,Data Protection,,9.4 A Financial Institution must ensure that any data breaches or data privacy breaches involving its data are promptly reported by the Third Party involved to a designated representative within the Financial Institution.,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Operational,Technical,Low,Data Breach Reporting; Third Party Compliance,Ensure that the Third Party involved reports data breaches or privacy breaches to the designated representative within the Financial Institution promptly.
QCB-GAP-P9-I12,MUST,Data Protection,,"9.5 A Financial Institution must include provisions for data protection, confidentiality, and co mpliance with regulatory requirements within its contractual agreements with Third Parties.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Confidentiality; Regulatory Compliance,"Ensure all contracts with third parties include provisions for data protection, confidentiality, and compliance with regulatory requirements."
QCB-GAP-P9-I13,MUST,General,,"9.6 A Financial Institution must collect consent from customers and employees prior to sharing their information with a Third Party, unless this is shared for legal purposes, regulatory purposes, or contract fulfilment.",Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Data Privacy; Third Party Access,Ensure compliance by obtaining explicit consent from customers and employees before sharing their information with a Third Party.
QCB-GAP-P9-I14,MUST,General,,9.7 A Financial Institution must inform the customer of the impact of not granting consent to information sharing with the Third Party.,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Low,Customer Consent; Data Sharing; Third Party,Ensure clear communication with customers about the consequences of not granting consent for information sharing with a Third Party.
QCB-GAP-P9-I15,MUST,General,,9.8 A Financial Institution must ensure its Third Parties handle data in a manner that meets the requirements of this regulation.,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Medium,Data Protection; Third Party Management,Implement a comprehensive third-party management policy and ensure all third-party vendors adhere to the regulatory requirements.
QCB-GAP-P9-I16,MUST,Risk Management,,9.9 A Financial Institution must implement risk-based data protection controls for data residing in all environments and data hosted by its Third Parties.,Data Handling and Protection Regulation.pdf,9,data_handling_and_protection_regulation,Governance,Technical,Medium,Data Protection; Third-Party Data,Implement risk-based data protection controls for data residing in all environments and data hosted by third parties.
QCB-GAP-P10-I1,MUST,General,,Assessments and Reporting 10.1 A Financial Institution must document a policy mandating ongoing data handling and management assessments including those defined within this section.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Data Governance; Data Management,Implement a regular data assessment and reporting process.
QCB-GAP-P10-I2,MUST,General,,"10.2 A Financial Institution must subject its primary, secondary, Disaster Recovery (DR) and backup environments to the assessments defined within this section.",Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Data Security; Disaster Recovery,"Ensure regular assessments of primary, secondary, DR, and backup environments are conducted."
QCB-GAP-P10-I3,MUST,Security Testing,,"10.3 A Financial Institution must define a process for conducting Privacy Impact Assessments (PIA) for all sensitive processes, in order to test whether privacy objectives are met and to ensure that data processin g adheres to processing requirements, retention requirements and appropriate access controls.",Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Privacy; Data Protection,Establish a dedicated team or role to oversee Privacy Impact Assessments (PIA).
QCB-GAP-P10-I4,MUST,General,,The process must include: 10.3.1 Defining what a sensitive process is and when a PIA is required.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Security Practices,Develop a clear definition of sensitive processes and establish a process for identifying when a PIA (Privacy Impact Assessment) is required.
QCB-GAP-P10-I10,MUST,General,,10.4 A Financial Institution must conduct a PIA in the following cases: 10.4.1 Initiating a new activity that involves a sensitive process.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Operational,Technical,Low,PIA; Sensitive Process,Perform a Process Impact Assessment (PIA) before starting new activities involving sensitive processes.
QCB-GAP-P10-I12,MAY,Data Protection,,3 Observing significant changes to laws and regulations of relevant jurisdictions that may impact Data Subject privacy.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Medium,DataPrivacy; RegulatoryCompliance,Monitor and review changes in laws and regulations that could impact Data Subject privacy to ensure compliance.
QCB-GAP-P10-I13,MUST,General,,10.5 A Financial Institution must review its PIA methodologies for accuracy and relevance and update as needed.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,PIA Review; Methodology Update,Regularly audit and update PIA methodologies to ensure accuracy and relevance.
QCB-GAP-P10-I14,MUST,Security Controls,,"10.6 A Financial Institution must establish a foreign data handling assessment that ensures data stored in, passing through or accessible from foreign jurisdictions continues to meet regulatory requirements and data protection standards.",Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Medium,Data Protection; Regulatory Compliance,Implement a comprehensive data handling assessment to ensure compliance with regulatory requirements and data protection standards.
QCB-GAP-P10-I15,MUST,Regulatory Approval,,"10.7 A Financial Institution must monitor changes in the legal and regulatory landscape of foreign jurisdictions to promptly assess and address any potential impact, on ongoing basis, reporting significant findings to QCB.",Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Compliance; Legal,Regularly review and update legal and regulatory compliance policies.
QCB-GAP-P10-I16,MUST,General,,10.8 A Financial Institution must develop a procedure that defines the mechanisms by which these assessments will be completed.,Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Operational,Technical,Low,Compliance; Risk Management,Develop a detailed procedure outlining the assessment mechanisms.
QCB-GAP-P10-I17,MUST,Assurance & Audit,,"This must include the following: 10.8.1 Assessment owner 10.8.2 Assessment stakeholders 10.8.3 Timeline and Frequency 10.8.4 Expected outcomes and recommendations 10.9 A Financial Institution must audit its data handling and management activities, and assess its compliance to data protection laws, regulations and leading industry standards as per the Financial Institution’s defined audit cycle.",Data Handling and Protection Regulation.pdf,10,data_handling_and_protection_regulation,Governance,Technical,Low,Data Protection; Compliance,"Ensure that the assessment owner, stakeholders, timeline, and expected outcomes are clearly documented and communicated."
QCB-GAP-P11-I1,MUST,General,,"Data Retention 11.1 A Financial Institution must ensure its retention of different categories of data considers legal, regulatory, and business requirements.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Retention,Technical,Low,Data Retention; Legal Compliance,"Implement a retention policy that aligns with legal, regulatory, and business requirements."
QCB-GAP-P11-I2,MUST,General,,11.2 A Financial Institution must comply to data retention requirements specified in the relevant AML / CFT laws and regulations.,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Governance,Technical,Low,AML/CFT Compliance; Data Retention,Ensure compliance with data retention requirements as specified in relevant AML/CFT laws and regulations.
QCB-GAP-P11-I3,MUST,Data Protection,,"11.3 A Financial Institution must retain data as per the following table: Data Minimum Retention Period SFI 10 years Personal Data, PII and SPI 10 years Technical Information 1 year All other data To be defined by the Financial Institution 11.4 A Financial Institution must retain data beyond the minimum retention periods defined within 11.3, if the extended data retention is obligated by a legal or regulatory mandate.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Governance,Technical,Low,Data Retention Policy,Ensure compliance with the retention periods outlined in the table.
QCB-GAP-P11-I5,MUST,Data Protection,,"Disaster Recovery & Business Continuity Backup 12.1 A Financial Institution must establish a Business Continuity and Disaster Recovery plan, emphasizing resilient data protection and privacy safeguards.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Governance,Technical,Low,BCDR; Data Protection; Privacy,Ensure regular testing and drills for the BCDR plan.
QCB-GAP-P11-I6,MUST,Security Testing,,The plan must include: 12.1.1 Local and foreign DR and backup requirements 12.1.2 Policy and processes for DR and data backup 12.1.3 Data retention periods 12.1.4 Backup frequency 12.1.5 Data storage and destruction processes 12.1.6 Defined trigger events 12.1.7 Ongoing testing and assessments 12.2 A Financial Institution must integrate its disaster recovery plan process into the Financial Institution’s overall governance processes and risk management framework.,Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Governance,Technical,High,DR; Data Backup; Risk Management; GRC,Ensure all DR and backup requirements are documented and integrated into the governance framework.
QCB-GAP-P11-I8,MUST,General,,"12.3 A Financial Institution must ensure continuous availability of critical systems and processes through redundancy controls and failover processes which include but are not limited to: conducting real -time or scheduled backups of critical data, ensuring that backup frequency aligns with the criticality and volatility of the data.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Technical,Technical,Low,Data Backup; Redundancy; Failover,Implement real-time or scheduled backups of critical data to ensure continuous availability.
QCB-GAP-P11-I9,MUST,Security Controls,,"12.4 A Financial Institution must implement security controls including robust encryption and data security measures for DR and backups, as per the Sector-Specific Security Regulation.",Data Handling and Protection Regulation.pdf,11,data_handling_and_protection_regulation,Technical,Implementation,High,DR; Backup; Encryption; Security Regulation,Ensure all data is encrypted and backed up using industry-standard practices.
